# fw=v3.1.0
time_ms,frame_id,R_ch0,R_ch1,R_ch2,R_ch3,R_ch4,R_ch5,R_ch6,R_ch7,R_ch8,R_ch9,R_ch10,R_ch11,R_ch12,R_ch13,R_ch14,R_ch15,L_ch0,L_ch1,L_ch2,L_ch3,L_ch4,L_ch5,L_ch6,L_ch7,L_ch8,L_ch9,L_ch10,L_ch11,L_ch12,L_ch13,L_ch14,L_ch15,flags
2491,1,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4071,1757,4094,3064,973,3826,4095,4095,4095,4095,1479,3071,1503,4095,0
2541,2,4071,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,1565,4095,3327,1001,3606,4048,4095,4095,4095,1387,4095,1595,4095,0
2591,3,4079,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,3471,1443,4095,3356,987,3731,4074,4095,4095,4095,1377,4095,1190,4095,0
2641,4,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,3357,1424,4095,3439,985,3802,4095,4095,4095,4095,1391,4095,1486,4095,0
2691,5,4071,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,3321,1036,3707,4081,1230,4095,4095,4095,4095,3195,1388,4095,1636,4095,0
2741,6,4065,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,1775,4095,4095,1530,4095,4095,4095,4095,4095,1337,4095,1465,4095,0
2791,7,4095,3997,4033,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4021,4095,4095,4066,3406,1045,4095,4074,1400,3786,3913,3027,4095,4086,1086,4006,1802,4095,0
2841,8,4095,4095,4095,4095,4058,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4014,4086,4005,3911,2083,4095,3923,1314,2322,3215,4085,4095,4095,1306,4066,1938,4095,0
2891,9,3380,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,3778,3372,3937,2488,4095,3778,1692,3422,3071,4095,4095,3726,1627,4095,1734,4095,0
2941,10,4095,4095,4086,3914,3883,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,3889,3854,4095,2951,4095,3600,1665,3522,2874,4095,4095,4095,1654,4095,1663,4095,0
2991,11,4095,4095,4095,4095,4095,4067,4095,4095,4095,4095,4095,4095,4095,4095,4071,4095,4095,4086,3782,3059,4095,4050,1507,3516,3813,2853,4095,3583,1768,4095,1182,4095,0
3041,12,3373,3927,4095,4095,4095,4023,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,3686,3838,3911,3407,4093,2779,932,4095,4095,4095,3711,4095,1842,4095,1687,4095,0
3091,13,4095,3866,4034,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,3894,4057,3926,3619,4095,3751,1168,2541,4082,4095,4095,4059,1948,3770,1846,4095,0
3141,14,4095,4095,3999,4045,4095,4095,4095,4095,4095,4095,4035,4095,4095,4095,4095,4095,4033,4065,3418,2331,4095,3865,1480,2778,4095,4095,4095,4095,1367,3890,1655,4095,0
3191,15,4041,4095,4073,4095,3928,4061,4095,3604,4095,4095,3215,4095,4095,4095,3773,4090,3933,4095,4095,2871,3847,2791,1025,4095,4073,4050,3782,3925,1700,4095,1406,3841,0
3241,16,4022,3138,3777,4095,4095,4095,4095,3348,4095,4095,3284,4095,4095,4043,3777,4095,4095,3964,4049,2715,4095,3799,1795,3898,3407,4095,4095,4095,2104,4095,1870,4095,0
3291,17,4095,3995,4041,3662,3699,4041,4095,3139,4095,4011,3509,4095,4095,4095,2788,4095,4095,4095,4093,3082,3991,4094,1889,4017,3665,4095,4095,4095,2348,4095,1850,4019,0
3341,18,3387,4095,4095,4095,3308,3604,3791,3013,4095,4095,2702,4095,3979,4095,2665,3710,4095,4095,3976,3865,4034,4095,2123,4046,3719,4001,4095,4095,2663,4095,2382,4095,0
3391,19,2649,3586,4095,4095,3446,2836,2698,2790,4095,4095,3147,4095,3261,3567,2191,4095,4095,4095,4095,3985,3489,4095,3443,3653,3717,3910,4095,4095,4010,4095,3914,4071,0
3441,20,3315,3051,2629,3201,1987,2832,2465,2650,4030,4095,2694,4095,3071,3781,2011,3747,4043,4095,4095,4030,4093,3374,4094,4095,4095,4095,3899,4049,4095,4095,4095,4095,0
3491,21,2407,3039,3069,4018,2414,1925,1925,2682,4095,4082,3126,3781,2973,4095,1862,3431,4095,4095,3986,4095,4095,3491,3548,3925,4095,4095,4095,4095,4093,4095,4095,4095,0
3541,22,2506,2448,2854,3770,2569,2211,2220,2546,3638,4095,3020,3922,2598,3150,1976,3704,3836,4095,4095,4095,4005,3544,3556,4095,4095,3836,4095,4051,4095,4095,4095,4023,0
3591,23,2659,2290,2249,2929,1971,2182,2155,2556,3978,4095,3244,4095,2447,3730,1833,3489,4095,4015,4095,4095,3918,3660,3643,4095,4095,3795,4095,4095,4095,4095,4095,4095,0
3641,24,2517,2546,2459,3952,1980,2003,2166,2555,3850,3933,3169,4095,2474,3759,955,3137,4095,4095,3974,4086,4071,4095,4089,3744,4095,4095,4095,4095,4095,4095,4095,4095,0
3691,25,2066,1852,2293,4095,2536,2019,2123,2678,3643,4095,3312,3854,2138,3351,1770,3715,4095,4095,4025,4095,4095,4090,3749,3631,4095,4095,4095,4095,4095,4095,4095,4095,0
3741,26,2819,2411,1722,2710,1991,2203,2229,2627,3797,4095,2826,4095,2388,3561,1731,3701,4058,4095,4095,4095,4095,3815,4095,4095,4095,4095,3943,4095,4095,4095,4095,4095,0
